frame_idx,time_s,cell_idx,density,acceleration,entropy,score,category
19,0.792,2,8.0,3.0,0.0,0.0,Green
19,0.792,3,6.0,-1.0,0.0,0.0,Green
19,0.792,4,12.0,11.0,0.0,0.0,Green
19,0.792,5,12.0,1.0,0.0,0.0,Green
19,0.792,6,3.0,1.0,0.0,0.0,Green
19,0.792,7,6.0,-5.0,0.0,0.0,Green
19,0.792,8,21.0,-1.0,0.0,0.0,Green
19,0.792,9,11.0,14.0,0.0,0.0,Green
19,0.792,10,7.0,3.0,0.0,0.0,Green
19,0.792,11,1.0,-11.0,0.0,0.0,Green
19,0.792,12,7.0,5.0,0.0,0.0,Green
19,0.792,13,6.0,-2.0,0.0,0.0,Green
19,0.792,14,3.0,0.0,0.0,0.0,Green
19,0.792,15,4.0,-1.0,0.0,0.0,Green
20,0.834,0,15.0,-1.0,0.0,0.0,Green
20,0.834,1,26.0,1.0,0.0,0.0,Green
20,0.834,2,8.0,-1.0,0.0,0.0,Green
20,0.834,3,6.0,2.0,0.0,0.0,Green
20,0.834,4,13.0,-2.0,0.0,0.0,Green
20,0.834,5,12.0,-1.0,0.0,0.0,Green
20,0.834,6,4.0,2.0,0.0,0.0,Green
20,0.834,7,6.0,2.0,0.0,0.0,Green
20,0.834,8,25.0,9.0,0.0,0.0,Green
20,0.834,9,4.0,-15.0,0.0,0.0,Green
20,0.834,10,3.0,-6.0,0.0,0.0,Green
20,0.834,11,4.0,9.0,0.0,0.0,Green
20,0.834,12,7.0,-4.0,0.0,0.0,Green
20,0.834,13,5.0,1.0,0.0,0.0,Green
20,0.834,14,4.0,1.0,0.0,0.0,Green
20,0.834,15,4.0,-1.0,0.0,0.0,Green
21,0.876,0,11.0,0.0,0.0,0.0,Green
21,0.876,1,21.0,-8.0,0.0,0.0,Green
21,0.876,2,8.0,0.0,0.0,0.0,Green
21,0.876,3,8.0,2.0,0.0,0.0,Green
21,0.876,4,11.0,-3.0,0.0,0.0,Green
21,0.876,5,13.0,1.0,0.0,0.0,Green
21,0.876,6,5.0,0.0,0.0,0.0,Green
21,0.876,7,5.0,-1.0,0.0,0.0,Green
21,0.876,8,19.0,-10.0,0.0,0.0,Green
21,0.876,9,2.0,5.0,0.0,0.0,Green
21,0.876,10,5.0,6.0,0.0,0.0,Green
21,0.876,11,1.0,-6.0,0.0,0.0,Green
21,0.876,12,9.0,2.0,0.0,0.0,Green
21,0.876,13,2.0,-2.0,0.0,0.0,Green
